,Director,Actor_list
9255,Oldrich Lipský,Blake Anderson
9256,Uros Stojanovic,Blake Jenner
9257,Oliver Parker,Ferdia Walsh-Peelo
9258,Annika IltisTimothy James Kane,Tyler Labine
9259,François Ruffin,Adam Driver
9260,Nicolas Winding Refn,Chris Hemsworth
9261,Lars JessenJacques PalmingerRocko Schamoni,Seth Rogen
9262,Gavin Hood,Christopher George
9263,Josh C. Waller,Nicolas Cage
9264,Paco Cabezas,John Gallagher Jr.
9265,Jukka Virtanen,Tristram Shapeero
9266,Stephen Frears,Paul Wheeler
9267,Kirk Jones,Helge Schneider
9268,Gabriel Mascaro,Helge Schneider
9269,Dylan Kidd,Dev Patel
9270,Peter Atencio,Rebecca Ferguson
9271,Max Landis,Mel Welles
9272,Paul Stodolny(unit director)Ricardo CurtisSteve Martino(flashback sequence),George Clooney
9273,Richard Linklater,Ice Cube
9274,John Carney,Ellen DeGeneres
9275,Pedro Morelli,Melissa McCarthy
9276,Jim Jarmusch,Jason Sudeikis
9277,Cedric Nicolas-Troyan,Takeru Satoh
9278,Nicholas Stoller,John Travolta
9279,William Castle,Bruce Willis
9280,Alex BrewerBenjamin Brewer,Joseph Gordon-Levitt
9281,Mike Flanagan,Matt K. Miller
9282,Tristram Shapeero,James Arnold Taylor
9283,Paul Wheeler,Warren Brown
9284,Ralf HuettnerHelge Schneider,Erik Brown
9285,Helge Schneider,Tomokazu Sugita
9286,Matt Brown,Russell Crowe
9287,Shamim Sarif,Dolph Lundgren
9288,Charles B. Griffith,Gil Gerard
9289,Jodie Foster,Klas-Gösta Olsson
9290,Malcolm D. Lee,Danila Kozlovskiy
9291,Andrew StantonAngus MacLane,Blake Lively
9292,Ben Falcone,Nicholas Tse
9293,Clay KaytisFergal Reilly,Kim Min-hee
9294,Hitoshi Ône,Mia Wasikowska
9295,Chuck Russell,Mark Rylance
9296,Max Adams,Louis Theroux
9297,Oliver Stone,Seth Rogen
9298,Hiroshi Negishi,Jirô Yabuki
9299,Kevin MunroeJericca Cleland,Nicollette Sheridan
9300,Matt Wilde,Thure Lindhardt
9301,Ho-jae Lee,Viggo Mortensen
9302,Yôichi Fujita,Sandra Hüller
9303,Shane Black,Jun Kunimura
9304,Don Michael Paul,Viktor Sukhorukov
9305,Daniel Haller,Susan Sarandon
9306,Roy Andersson,Jesse Eisenberg
9307,Nikolay Lebedev,Jay Karas
9308,Jaume Collet-Serra,Jesse Eisenberg
9309,Benny Chan,Hideko Yoshida
9310,Park Chan-Wook,Paul Dano
9311,James Bobin,Adam Sandler
9312,Steven Spielberg,Ewa Aulin
9313,John Dower,Megan Fox
9314,Greg TiernanConrad Vernon,Craig Roberts
9315,Kazuhiko Yamaguchi,Andy Samberg
9316,Monika Mitchell,John Hannah
9317,Steven Gomez,Elmira Zherzdeva
9318,Matt Ross,David Attenborough
9319,Maren Ade,Christopher Storer
9320,Na Hong-jin,Vera Farmiga
9321,Mikhail GrigorevVladimir Studennikov,Vincent D'Onofrio
9322,Lorene Scafaria,Melissa McCarthy
9323,Jon M. Chu,Dwayne Johnson
9324,Jay Karas,Kareem Abdul-Jabbar
9325,Woody Allen,Gary Daniels
9326,Yoshiaki Kawajiri(segment Hashiru otoko)Rintaro(segment Labyrinth*labyrinthos)Katsuhiro Ôtomo(segment Kôji chûshi meirei),Colin Firth
9327,Dan KwanDaniel Scheinert,Leo Genn
9328,Steven Brill,Matt Damon
9329,Joe D'Amato,Paula Garcés
9330,Dave Green,Kôji Tsuruta
9331,Rob Burnett,Alexander Skarsgård
9332,Akiva SchafferJorma Taccone,Frank Grillo
9333,David Kerr,Zac Efron
9334,Inessa Kovalevskaya,Ray Romano
9335,David AttenboroughSigourney WeaverNikolay Drozdov,Teresa Palmer
9336,Bo BurnhamChristopher Storer,Bryce Dallas Howard
9337,James Wan,Logan Lerman
9338,Jeff ZimbalistMichael Zimbalist,Ben Schnetzer
9339,Paul Feig,Bruce Willis
9340,Rawson Marshall Thurber,Alan Barillaro
9341,Ezra Edelman,James Franco
9342,Siu-Hung Leung,Joe Odagiri
9343,Michael Grandage,Emmanuel Garijo
9344,Jack LeeIan Dalrymple(completion director),Sarah Hyland
9345,Paul Greengrass,Emma Roberts
9346,Michael Walker,Luchino Fujisaki
9347,Kinji Fukasaku,Tom Hanks
9348,David Yates,Laura Harring
9349,James DeMonaco,Ryan Polito
9350,Jake Szymanski,Dorothy McGinnis
9351,Mike ThurmeierGalen T. Chu,Lars Bom
9352,David F. Sandberg,Bryan Cranston
9353,David Lowery,Jonah Hill
9354,James Schamus,Paul Sloan
9355,Andrew Neel,Kevin Conroy
9356,Steven C. Miller,Mila Kunis
9357,Alan Barillaro,Chris Pine
9358,Pamela Romanowsky,Aaron Paul
9359,Sion Sono,Stephen Lang
9360,Michael Dudok de Wit,Helen Rogers
9361,Jeffrey G. Hunt,Ian Ziering
9362,Henry JoostAriel Schulman,Hailee Steinfeld
9363,Hiroki Yamaguchi,Isabelle Huppert
9364,Clint Eastwood,Gong Yoo
9365,Greydon Clark,Gabriel G. Alvarez
9366,Ryan Polito,Denzel Washington
9367,David Lynch,Mahershala Ali
9368,Thomas Borch Nielsen,Zach Galifianakis
9369,Brad Furman,Charlize Theron
9370,Todd Phillips,Renée Zellweger
9371,Christian Sesma,Mark Wahlberg
9372,Sam Liu,Eva Green
9373,Jon LucasScott Moore,Emily Blunt
9374,David Mackenzie,Ben Affleck
9375,Takeshi Nozue,Daniel Radcliffe
9376,Fede Alvarez,Hiroshi Kamiya
9377,Dan BerkRobert Olsen,Mamoru Miyano
9378,Anthony C. Ferrante,Hiroki Hasegawa
9379,Kelly Fremon Craig,Evgeniy Leonov
9380,Paul Verhoeven,Evgeniy Leonov
9381,Sang-ho Yeon,Ryûnosuke Kamiki
9382,Jay KarasRami Hachache(opening scenes),Vladimir Osenev
9383,Antoine Fuqua,David Hasselhoff
9384,Barry Jenkins,Yvette Nicole Brown
9385,Jared Hess,Andrew Garfield
9386,Travis Knight,Alex Coletti
9387,Sharon Maguire,Elijah Wood
9388,Peter Berg,Albert Ivanov
9389,Tim Burton,James Allen McCune
9390,Tate Taylor,Malcolm McDowell
9391,Gavin O'Connor,Robbie Amell
9392,Daniel Ragussis,Amy Adams
9393,Tatsuya OishiAkiyuki Shinbo(chief director),Andy Samberg
9394,Kanji WakabayashiHiro Hamasaki(chief director)Takuya Satô(chief director),Allie Marie Evans
9395,Hideaki AnnoShinji Higuchi,Adan Jodorowsky
9396,Fyodor Khitruk,Sennia Nanua
9397,Fyodor Khitruk,Sarah Jessica Parker
9398,Makoto Shinkai,Amanda Knox
9399,Fyodor KhitrukGennadiy Sokolskiy,Mamrie Hart
9400,Joel Gallen,Iggy Pop
9401,Cecilia Aranovich,Jordan Danger
9402,Mel Gibson,Erika Christensen
9403,Alex Coletti,Ivan Yankovskiy
9404,Katie Krentz(development)Patrick McHale,Ryan Gosling
9405,Igor KovalyovAleksandr Tatarskiy,Melina Abdullah
9406,Adam Wingard,Jonathan Rhys Meyers
9407,Rob Zombie,Tom Hanks
9408,Tony Elliott,Zach Galifianakis
9409,Denis Villeneuve,Shirley MacLaine
9410,Nicholas StollerDoug Sweetland,Ivy Levan
9411,Jay Martin,Tom Cruise
9412,Alejandro Jodorowsky,Anthony Giordano
9413,Colm McCarthy,Jim Broadbent
9414,Ella Lemhagen,Matthew Modine
9415,Rod BlackhurstBrian McGinn,Casey Affleck
9416,Andrew Bush,Dev Patel
9417,Jim Jarmusch,Logan Paul
9418,Francine McDougall,Chris Hemsworth
9419,Terry Ingram,Billy Bob Thornton
9420,Emilis Velyvis,Jay Baruchel
9421,Damien Chazelle,Julian Assange
9422,Ava DuVernay,Kevin James
9423,Derrick Borte,Oleg Kulikovich
9424,Ron Howard,Adam Curtis
9425,Greg Mottola,Marc Zinga
9426,Andy Tennant,Johnny Simmons
9427,Kenny Ortega,Klara Rumyanova
9428,Edward Zwick,Josefine Preuß
9429,Anthony Giordano,Miyu Irino
9430,Roger Mainwood,Auli'i Cravalho
9431,Jeff Bleckner,Jason Bateman
9432,Kenneth Lonergan,Gary Oldman
9433,Garth Davis,Felicity Jones
9434,Michael J. Gallagher,James McAvoy
9435,Taika Waititi,Kate Beckinsale
9436,Mark Waters,Jessica Chastain
9437,Brett Harvey,Jennifer Lawrence
9438,Laura Poitras,Taraji P. Henson
9439,Jeff Wadlow,Denzel Washington
9440,Konstantin Bronzit,Michael Keaton
9441,Adam Curtis,Zoey Deutch
9442,Julien Rambaldi,Matthew McConaughey
9443,Damien Chazelle,Samuel L. Jackson
9444,Boris Stepantsev,Lew Ayres
9445,Felix FuchssteinerKatharina Schöde,Michael Fassbender
9446,Naoko Yamada,Josh Gad
9447,Ron ClementsJohn MuskerDon Hall(co-directed by),Jackie Vernon
9448,Josh GordonWill Speck,Brit Marling
9449,Peter Chelsom,Ice Cube
9450,Gareth Edwards,Hank Rogerson
9451,M. Night Shyamalan,Luke Treadaway
9452,Anna Foerster,Will Arnett
9453,John Madden,Matt Stone
9454,Morten Tyldum,Semyon Treskunov
9455,Theodore Melfi,Dana Carvey
9456,Denzel Washington,Hayley Atwell
9457,John Lee Hancock,Hiroshi Kamiya
9458,John Hamburg,Joe Rogan
9459,Garth JenningsChristophe Lourdelet,Jim Gaffigan
9460,Raoul Peck,Hiroshi Kamiya
9461,Tod Browning,Keanu Reeves
9462,Justin Kurzel,Daniel Kaluuya
9463,Lasse Hallström,Hugh Jackman
9464,Wayne Berwick,Tom Hiddleston
9465,Zal BatmanglijBrit Marling,Ewan McGregor
9466,Richie Keen,Kumail Nanjiani
9467,Hank Rogerson,Gemma Arterton
9468,Roger Spottiswoode,Farrah Fawcett
9469,Chris McKay,Emma Watson
9470,Trey Parker(uncredited)Matt Stone(uncredited),Alec Baldwin
9471,Oksana Karas,Scott Eastwood
9472,Marcus Raboy,Armie Hammer
9473,Louis D'Esposito,Jason Mitchell
9474,Tatsuya OishiAkiyuki Shinbo(chief director),Scarlett Johansson
9475,Michael Blieden,Jay Karas
9476,Jeannie Gaffigan,Dakota Johnson
9477,Tatsuya OishiAkiyuki Shinbo,Neal Brennan
9478,Chad Stahelski,Beyoncé
9479,Jordan Peele,Peyton Kennedy
9480,James Mangold,Aaron Poole
9481,Jordan Vogt-Roberts,David Hayter
9482,Danny Boyle,Denis Leary
9483,Michael Showalter,Rami Malek
9484,Jim O'Hanlon(attached),Dacre Montgomery
9485,Stanley DonenJohn Barry(uncredited),Michael Fassbender
9486,Bill Condon,Sharlto Copley
9487,Tom McGrath,Robin Dunne
9488,Charles Burmeister,Justin Gross
9489,Luca Guadagnino,Justin Theroux
9490,Dee Rees,Dave Chappelle
9491,Rupert Sanders,Michael Peña
9492,Jay Karas,Anna Kendrick
9493,James Foley,Dave Chappelle
9494,Neal Brennan,In-hwan Park
9495,BeyoncéKahlil JosephDikayl Rimmasch,Leonid Bronevoy
9496,Anne Hamilton,Chris Evans
9497,Jeremy GillespieSteven Kostanski,Scott Grimes
9498,Steve Wang,Georgiy Burkov
9499,Ted Demme,Dwayne Johnson
9500,Sarah Adina Smith,Amy Schumer
9501,Dean Israelite,Tom Cruise
9502,Ridley Scott,Lindsay Lohan
9503,Ben Wheatley,Vin Diesel
9504,Brad Turner,Adam Sandler
9505,Will MeugniotDick SebastBob Richardson(supervising),William Ackman
9506,David Lynch,Jake Johnson
9507,Stan Lathan,Kevin Hart
9508,Dax Shepard,Joel Edgerton
9509,Jeffrey Blitz,Owen Wilson
9510,Stan Lathan,Alec Baldwin
9511,Jee-woon Kim,N/A
9512,Aleksandr Tatarskiy,Sam Elliott
9513,Marc Webb,A.J. Daulerio
9514,Scott GrimesDamian LewisRon Livingston,Carl Sagan
9515,Eduard Nazarov,Maria Bamford
9516,Seth Gordon,Marty Callner
9517,Jonathan Levine,Jean-Pierre Léaud
9518,Alex Kurtzman,Mamoru Miyano
9519,Mark Rosman,Sanjay Dutt
9520,F. Gary Gray,Nicole Kidman
9521,Steven Brill,Ansel Elgort
9522,Ted Braun,Tilda Swinton
9523,Joe Swanberg,Magda Graziowska
9524,David Soren,Scarlett Johansson
9525,Trey Edward Shults,Arnold Schwarzenegger
9526,Brian Fee,Marie Denarnaud
9527,Nick Guthe,Tómas Lemarquis
9528,David Attenborough,Mark-Paul Gosselaar
9529,N/A,Arliss Howard
9530,Brett Haley,Vince Vaughn
9531,Brian Knappenberger,Keanu Reeves
9532,Ann DruyanCarl SaganSteven Soter,Robert Smigel
9533,Jessica Yu,Roger Stone
9534,Marty Callner,Arnold Schwarzenegger
9535,Albert Serra,Steve Carell
9536,Mamoru MiyanoBrad SwaileVincent Tong,Sergey Ivanov
9537,Rajkumar Hirani,Stanislav Fedosov
9538,Sofia Coppola,Faina Ranevskaya
9539,Edgar Wright,Oleg Tabakov
9540,Bong Joon Ho,Mariya Vinogradova
9541,Juliusz Machulski,Marlon Brando
9542,Lucia Aniello,Zinoviy Gerdt
9543,Vlad Yudin,Bassem Youssef
9544,Léa Fazer,Rina Zelyonaya
9545,Maria Schrader,Mariya Vinogradova
9546,Don Barnhart,James Arnold Taylor
9547,Martha Coolidge,Kevin Michael Richardson
9548,Gregory Mosher,Clayton Watson
9549,Thom Eberhardt,Tamara Dmitrieva
9550,Robert SmigelConan O'Brien(archive footage)Christina Aguilera(archive footage),Andy Serkis
9551,Dylan BankDaniel DiMauroMorgan Pehme,Claes Bang
9552,John BrunoJames CameronKeith Melton,Adam Sandler
9553,Kyle BaldaPierre CoffinEric Guillon(co-directed by),Brad Pitt
9554,Aleksandr Tatarskiy,Rio Hiiragi
9555,Stanislav FedosovAleksey PtitsynLeonid Bronevoy,Marcus Raboy
9556,Boris Stepantsev,Liz Plonka
9557,Vladimir Popov,Dane DeHaan
9558,Vladimir Popov,Mathieu Ratthe
9559,Francis Ford Coppola,Johan Grimonprez
9560,Zinoviy GerdtEvgeniy PapernyyGeorgiy Kishko,A. Belozorovich
9561,Sara Taksler,Vitaliy Bianki
9562,Boris Stepantsev,Vasiliy Livanov
9563,Roman Davydov,Pierre Richard
9564,Shin'ichirô Watanabe,Brian Gleeson
9565,Andrew R. Jones,Ted Danson
9566,Shin'ichirô Watanabe,Noomi Rapace
9567,Roman Kachanov,Charlize Theron
9568,Matt Reeves,Zdenek Sverák
9569,Ruben Östlund,Seann William Scott
9570,Noah Baumbach,Jon Hamm
9571,David Michôd,Fionn Whitehead
9572,Kyoko Miyake,Tatsuya Nakadai
9573,Marcus Raboy,Oliver Stone
9574,Liz Plonka,Kerry Donelli
9575,Luc Besson,Aleksandr Demyanenko
9576,Mathieu Ratthe,Nick Kroll
9577,Johan Grimonprez,Robert Pattinson
9578,Robert Sahakyants,Fernandel
9579,Eduard Nazarov,Will Ferrell
9580,Igor Maslennikov,Channing Tatum
9581,Francis Veber,Idris Elba
9582,Simon Dixon,Anthony LaPaglia
9583,Ted DansonMary SteenburgenJames Fox,Vasiliy Livanov
9584,Tommy Wirkola,Bill Skarsgård
9585,David Leitch,Muslim Magomayev
9586,Jan Sverák,Garri Bardin
9587,Jay Baruchel,Olga Gromova
9588,Carl Tibbetts,Nikolai Nosov
9589,Christopher Nolan,Evgeniy Leonov
9590,Eiichi Yamamoto,T.J. Miller
9591,Oliver StoneVladimir PutinSergei Chudinov,Nat Wolff
9592,Ben O'BrienAlan Resnick,Elizabeth Olsen
9593,Leonid Gaidai,Rory Scovel
9594,Michael John WarrenAlex Timbers(directed for the stage by),Nikolaj Coster-Waldau
9595,Benny SafdieJosh Safdie,Ryan Reynolds
9596,Luigi Comencini,James Atkinson
9597,Andrew Jay Cohen,Michel Piccoli
9598,Steven Soderbergh,Olaf S. Müller
9599,Nikolaj Arcel,Julian Radlmaier
9600,David F. Sandberg,N/A
9601,Roman Kachanov,Yvette Nicole Brown
9602,Andy Muschietti,Taron Egerton
9603,Vasiliy Livanov,Eric Abrams
9604,Robert Sahakyants,Harrison Ford
9605,Mikhail Kamenetskiy,Will Arnett
9606,Vladimir Popov,Alba Rohrwacher
9607,Leonid Nosyrev,Hannelore Elsner
9608,Tony Leondis,Jennifer Lawrence
9609,Adam Wingard,Bryan Fogel
9610,Taylor Sheridan,Joel Hogan
9611,Scott Moran,Leo Gallo
9612,Ric Roman Waugh,Milos Macourek
9613,Patrick Hughes,Tom Cruise
9614,Erica Hayes,Melanie Lynskey
9615,Claude Faraldo,Gerard Butler
9616,Christian KrönesOlaf S. MüllerRoland Schrotthofer,Maz Jobrani
9617,Julian Radlmaier,Yoshitsugu Matsuoka
9618,N/A,Frances McDormand
9619,Todd Grimes,Saoirse Ronan
9620,Matthew Vaughn,Kenneth Branagh
9621,Eric Abrams,Anthony Gonzalez
9622,Denis Villeneuve,Gen Hoshino
9623,Cal Brunker,Margot Robbie
9624,Doris Dörrie,Suzu Hirose
9625,Doris Dörrie,Alexia Anastasio
9626,Darren Aronofsky,Sandra Amador
9627,Bryan Fogel,Dave Chappelle
9628,Gerald Rascionato,Jake Choi
9629,Doug Aitken,Ben Whishaw
9630,Fyodor Khitruk,Dave Bautista
9631,Doug Liman,Jean-Paul Belmondo
9632,Rob Meyer,Steve Buscemi
9633,Dean Devlin,Douglas Booth
9634,Maz Jobrani,David Attenborough
9635,Tomohiko Itô,Jay Karas
9636,Martin McDonagh,Dwayne Johnson
9637,Greta Gerwig,Dane Cook
9638,Kenneth Branagh,Steven Yeun
9639,Lee UnkrichAdrian Molina(co-directed by),Kostja Ullmann
9640,Masaaki Yuasa,Justin Timberlake
9641,Craig Gillespie,Karan Soni
9642,Akiyuki ShinboNobuyuki Takeuchi,Woody Harrelson
9643,Alexia Anastasio,Denzel Washington
9644,Chris Moukarbel,Gary Oldman
9645,Stan Lathan,Daisy Ridley
9646,Ray Yeung,Mila Kunis
9647,Paul King,Sally Hawkins
9648,Luke Scott,Jessica Chastain
9649,Édouard Molinaro,Jacob Tremblay
9650,Armando Iannucci,Will Ferrell
9651,Dorota KobielaHugh Welchman,Rebecca De Mornay
9652,David AttenboroughPeter DrostRoger Munns,Jim Carrey
9653,Jay Karas,James Franco
9654,Jake Kasdan,Meryl Streep
9655,Dane Cook,N/A
9656,Joe Lynch,Hugh Jackman
9657,Felix FuchssteinerKatharina Schöde,John Cena
9658,Woody Allen,Brian Klein
9659,Patrick Brice,Marcus Raboy
9660,Rob Reiner,Vicky Krieps
9661,Dan Gilroy,Dana Carvey
9662,Joe Wright,N/A
9663,Rian Johnson,Glenn Close
9664,Jon LucasScott Moore,Melvin Millar
9665,Guillermo del Toro,Mel Blanc
9666,Aaron Sorkin,Howard Baldwin
9667,Stephen Chbosky,Julia Fletcher
9668,Sean Anders,Natalie Portman
9669,Rebecca De MornaySteven WeberWil Horneff,Maya Rudolph
9670,Chris Smith,Raviv Ullman
9671,James Franco,Marcus Raboy
9672,Steven Spielberg,Valeria Solarino
9673,N/A,Will Smith
9674,Michael Gracey,Liam Neeson
9675,Carlos Saldanha,Dave Chappelle
9676,Brian Klein,Christopher Rainey
9677,Marcus Raboy,Stan Lathan
9678,Paul Thomas Anderson,Lin Shaye
9679,Josh Greenbaum,Steve Whitmire
9680,Jay Chapman,Chris Mulkey
9681,N/A,Jason Bateman
9682,Jeff Bleckner,Dylan O'Brien
9683,Cal DaltonBen Hardaway,Bryan Cranston
9684,Robert Clampett,Ed Helms
9685,Ben HardawayCal Dalton(uncredited),Jay Karas
9686,Mahiro Maeda,Adam Devine
9687,Alex Garland,Zack Ward
9688,Scott EllisAlex Rudzinski(live television direction by),N/A
9689,Mark A.Z. Dippé,Gugu Mbatha-Raw
9690,Marcus Raboy,Steven Avery
9691,Donatella Maiorca,Manuel Alexandre
9692,David Ayer,Alicia Vikander
9693,Jaume Collet-Serra,Ryôsuke Yamada
9694,Stan Lathan,Ethan Hawke
9695,Jonathan Olshefski,Fred Armisen
9696,Stan Lathan,Bruce Willis
9697,Adam Robitel,Storm Reid
9698,Jim HensonDavid G. Hillier,Nick Robinson
9699,David Burton Morris,Emily Blunt
9700,John Francis DaleyJonathan Goldstein,Kodi Smit-McPhee
9701,Wes Ball,Madison Wolfe
9702,Wes Anderson,Benedict Cumberbatch
9703,Dito Montiel,Adam Devine
9704,Jay Karas,Leslie Mann
9705,Ari Sandel,John Boyega
9706,Greg Aronowitz,Dwayne Johnson
9707,Johan van der Keuken,Chris Pratt
9708,N/A,Craig T. Nelson
9709,Julius Onah,Ryan Reynolds
9710,Steven AveryDolores AveryLaura Nirider,Alden Ehrenreich
9711,Marcos Carnevale,Fred Rogers
9712,Roar Uthaug,LaKeith Stanfield
9713,Fumihiko Sori,Paul Rudd
9714,Paul Schrader,Marcello Fonte
9715,Lance Bangs,Lily James
9716,Eli Roth,Jeremy Renner
9717,Ava DuVernay,José Luis Ferrer
9718,Greg Berlanti,Vera Farmiga
9719,John Krasinski,Laura Fairrie
9720,Albert Hughes,Tom Cruise
9721,Anders Walter,Trevor Jackson
9722,Paul McGuigan,Derick Fage
9723,Kyle Newacheck,John David Washington
9724,Kay Cannon,Amandla Stenberg
9725,Steven S. DeKnight,Yavor Baharov
9726,Brad Peyton,Ed Larson
9727,J.A. Bayona,Julia Palha
9728,Brad Bird,Daniel de Oliveira
9729,David Leitch,N/A
9730,Ron Howard,N/A
9731,Morgan Neville,Shun Oguri
9732,Boots Riley,Tomokazu Sugita
9733,Peyton Reed,Saori Hayami
9734,Matteo Garrone,Kento Nakajima
9735,Ol Parker,Cristina Valenzuela
9736,Jeff Tomsic,N/A
9737,Terry Gilliam,Bryn Apprill
9738,Shana Feste,Alexandra Bedford
9739,Laura Fairrie,Marin Ireland
9740,Christopher McQuarrie,Brian Beacock
9741,Director X.,Andrew Dice Clay
9742,Brett Kelly,Daniel Craig
9743,Spike Lee,Jake Gyllenhaal
9744,Jennifer Yuh Nelson,Alessandro Nivola
9745,Viktor Chouchkov,Tom Hardy
9746,Stuart MillerJeffrey Ross,Timothée Chalamet
9747,João Nicolau,Ryan Reynolds
9748,Carolina Jabor,Scarlett Johansson
9749,Chris Wedge,Matt Damon
9750,N/A,Simu Liu
9751,Agnès Varda,Kaya Scodelario
9752,N/A,Jamie Lee Curtis
9753,Yûichi Fukuda,Sydney Park
9754,Shinji Takamatsu,Annabelle Wallis
9755,Tatsuyuki Nagai,Lily-Rose Depp
9756,Keisuke Yoshida,Andrew Garfield
9757,Takahiko Kyôgoku,Rebecca Hall
9758,Frank DeCaroJon Stewart,Tom Hardy
9759,N/A,Oscar Isaac
9760,Noriyuki AbeStephen Hoff(english version),Vincent Lindon
9761,Atsuko Ishizuka,Gael García Bernal
9762,Bruce Beresford,Phil Robertson
9763,Takuya Igarashi,Jakob Cedergren
9764,Jay Dubin,Margot Robbie
9765,Cary Joji Fukunaga,Gemma Chan
9766,Antoine Fuqua,Emma Stone
9767,Alan Taylor,Mark Wahlberg
9768,Andy Serkis,Anna Hopkins
9769,Denis Villeneuve,Dev Patel
9770,Shawn Levy,Daniel Stisen
9771,Cate Shortland,Benicio Del Toro
9772,Ridley Scott,Zendaya
9773,Destin Daniel Cretton,Oscar Isaac
9774,Johannes Roberts,Noomi Rapace
9775,David Gordon Green,Josephine Langford
9776,Patrick Brice,Jonathan Majors
9777,James Wan,Bradley Cooper
9778,Nathalie Biancheri,Carey Mulligan
9779,Lin-Manuel Miranda,Kristen Bell
9780,David Bruckner,Yahya Abdul-Mateen II
9781,Ruben Fleischer,Melissa McCarthy
9782,Greg TiernanConrad VernonLaura Brousseau,Mary Elizabeth Winstead
9783,Julia Ducournau,Daniel Craig
9784,M. Night Shyamalan,Clint Eastwood
9785,Santiago Menghini,Megan Fox
9786,Gustav Möller,Sydney Sweeney
9787,James Gunn,Ben Platt
9788,Chloé Zhao,Kate Siegel
9789,Craig Gillespie,Kang-ho Song
9790,Antoine Fuqua,Thomasin McKenzie
9791,Simon Barrett(segment The Empty Wake)Steven Kostanski(segment The Veggie Masher)Chloe Okuno(segment Storm Drain),Sunny Kaushal
9792,David Lowery,Neve Campbell
9793,Fansu Njie,Vinnie Jones
9794,Wes Anderson,Vin Diesel
9795,Jon Watts,Anna Maria Sieklucka
9796,Paul Schrader,Amitabh Bachchan
9797,Valdimar Jóhannsson,Barry Keoghan
9798,Castille Landon,Tim Blake Nelson
9799,Jeymes Samuel,Camila Cabello
9800,Paul Thomas Anderson,Jamie Lee Curtis
9801,Emerald Fennell,Oscar Isaac
9802,Aron GaudetGita Pullapilly,Leonardo DiCaprio
9803,Nia DaCosta,Vanessa Hudgens
9804,Theodore Melfi,Dwayne Johnson
9805,Cedric Nicolas-Troyan,Freida Pinto
9806,Rian Johnson,Christina Ricci
9807,Clint Eastwood,Justin Chon
9808,S.K. Dale,Joaquin Phoenix
9809,Michael Mohan,Henry Golding
9810,Stephen Chbosky,Florence Pugh
9811,Matt AngelSuzanne Coote,Kristen Stewart
9812,Bong Joon Ho,Robert Downey Jr.
9813,Edgar Wright,Haley Bennett
9814,Kunal Deshmukh,Jason Statham
9815,Matt Bettinelli-OlpinTyler Gillett,Hannah Waddingham
9816,Nick Nevern,John David Washington
9817,Justin Lin,Chad Michael Murray
9818,Barbara BialowasTomasz Mandes,Brian Hull
9819,Rumi Jaffery,Taylor Russell
9820,Matt Reeves,Taron Egerton
9821,Potsy Ponciroli,Constance Arnoult
9822,Kay Cannon,Nicolas Cage
9823,David Gordon Green,Maggie Q
9824,Greg TiernanConrad Vernon,Finn Wolfhard
9825,Quentin Tarantino,Emily Blunt
9826,Robert CullenJosé Luis UchaMark Fattibene,Stephen Lang
9827,Jaume Collet-Serra,Gal Gadot
9828,Adam Salky,Henry Cavill
9829,Lana Wachowski,Leonardo DiCaprio
9830,Justin Chon,Bob Odenkirk
9831,Todd Phillips,Chris Pratt
9832,Robert Schwentke,Dean-Charles Chapman
9833,Ari Aster,Jessica Chastain
9834,Pablo Larraín,Salma Hayek
9835,Anthony RussoJoe Russo,Benedict Cumberbatch
9836,Joe Wright,Toni Collette
9837,Guy Ritchie,Asjha Cooper
9838,Anne Fletcher,Anthony Hopkins
9839,Christopher Nolan,Ewan McGregor
9840,James Cullen Bressack,Hugh Jackman
9841,Derek DrymonJennifer Kluska,Daniel Craig
9842,Adam Robitel,Lewis Tan
9843,Dexter Fletcher,Sigourney Weaver
9844,Charles Van Tieghem,Jodie Comer
9845,Michael Sarnoski,Barbara Hershey
9846,Martin Campbell,Jason Sudeikis
9847,Jason Reitman,Stephanie Beatriz
9848,John Krasinski,Timothée Chalamet
9849,Rodo Sayagues,Adriana Barraza
9850,Patty Jenkins,Jing Wu
9851,Zack Snyder,Halsey
9852,Martin Scorsese,A.J. LoCascio
9853,Ilya Naishuller,Simon Rex
9854,Chris McKay,Karen Gillan
9855,Sam Mendes,Sofia Kappel
9856,Simon Kinberg,Kiana Madeira
9857,Ridley Scott,Matthias Schweighöfer
9858,Jane Campion,Emilia Jones
9859,Ari Aster,Ralph Fiennes
9860,Maritte Lee Go,Winslow Fegley
9861,Florian Zeller,Robert Pattinson
9862,Mike Flanagan,Benedict Cumberbatch
9863,Lisa Joy,Katie Findlay
9864,Rian Johnson,Jacob Tremblay
9865,Simon McQuoid,James McAvoy
9866,Neill Blomkamp,Saoirse Ronan
9867,Marc Munden,Keri Russell
9868,Axelle Carolyn,Addison Rae
9869,Aharon Keshales,Chris Pratt
9870,Jared BushByron HowardCharise Castro Smith,Jessica Chastain
9871,Adam McKay,Jonathan Rhys Meyers
9872,Gigi Saul Guerrero,Tom Holland
9873,Kaige ChenDante LamHark Tsui,Grace Van Patten
9874,Colin Tilley,Frank Grillo
9875,Ken Cunningham,Rami Malek
9876,Sean Baker,Colin Farrell
9877,Navot Papushado,Denzel Washington
9878,Ninja Thyberg,Taylor Russell
9879,Leigh Janiak,Patrick Wilson
